date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:49:02	67/67	---MC-	200	added ('OK')	text/plain	date:Tue,%2007%20Jul%202020%2016:19:00%20GMT	https://worldsports.club/robots.txt		(from )
21:49:05	164391/164391	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Jul%202020%2016:19:01%20GMT	https://worldsports.club/	G:/sportclub/worldsports.club/index.html	(from )
21:49:06	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2007%20Jul%202020%2016:19:05%20GMT	https://worldsports.club/xmlrpc.php	G:/sportclub/worldsports.club/xmlrpc.php	(from https://worldsports.club/)
21:49:09	16845/16845	---M--	200	added ('OK')	text/css	etag:%2241cd-5a90a35d7c02a%22	https://worldsports.club/wp-content/plugins/instagram-feed/css/sb-instagram-2-2.min.css?ver=2.4.4	G:/sportclub/worldsports.club/wp-content/plugins/instagram-feed/css/sb-instagram-2-2.minfc3c.css	(from https://worldsports.club/)
21:49:11	28937/28937	---M--	200	added ('OK')	text/css	etag:%227109-5a90a490f180e%22	https://worldsports.club/wp-content/plugins/user-registration/assets/css/user-registration.css?ver=1.8.4	G:/sportclub/worldsports.club/wp-content/plugins/user-registration/assets/css/user-registration29af.css	(from https://worldsports.club/)
21:49:15	179853/179853	---M--	200	added ('OK')	image/jpeg	etag:%222be8d-58f1f9f9a4900%22	http://worldsports.club/wp-content/uploads/2019/08/world-sports-club-stadium.jpg?id=2367	G:/sportclub/worldsports.club/wp-content/uploads/2019/08/world-sports-club-stadium9e33.jpg	(from https://worldsports.club/)
21:49:15	732/732	---M--	200	added ('OK')	text/css	etag:%222dc-5a90a490f180e%22	https://worldsports.club/wp-content/plugins/user-registration/assets/css/user-registration-smallscreen.css?ver=1.8.4	G:/sportclub/worldsports.club/wp-content/plugins/user-registration/assets/css/user-registration-smallscreen29af.css	(from https://worldsports.club/)
21:49:15	31449/31449	---MC-	200	added ('OK')	application/rss+xml	etag:%221de67aef19d3566ddbfe537e7bbf0728%22	https://worldsports.club/feed/	G:/sportclub/worldsports.club/feed/index.html	(from https://worldsports.club/)
21:49:15	788/788	---MC-	200	added ('OK')	application/rss+xml	etag:%22e9dede27e20190b2be6adbf1565c3767%22	https://worldsports.club/comments/feed/	G:/sportclub/worldsports.club/comments/feed/index.html	(from https://worldsports.club/)
21:49:16	3366/3366	---M--	200	added ('OK')	text/css	etag:%22d26-5a90a490f180e%22	https://worldsports.club/wp-content/plugins/user-registration/assets/css/my-account-layout.css?ver=1.8.4	G:/sportclub/worldsports.club/wp-content/plugins/user-registration/assets/css/my-account-layout29af.css	(from https://worldsports.club/)
